제목,링크,썸네일,높이,폭
앞포켓 청바지 | 무신사 추천 브랜드,https://image.msscdn.net/thumbnails/images/goods_img/20240228/3912113/3912113_17091201348922_big.png?w=780,https://search.pstatic.net/sunny/?type=b150&src=https://image.msscdn.net/thumbnails/images/goods_img/20240228/3912113/3912113_17091201348922_big.png?w=780,936,780
자라 여성청바지 29 진스센스 | 세컨웨어(헬로마켓),https://ccimg.hellomarket.com/images/2024/item/09/18/15/2714941_4163530_1.jpg?size=s6,https://search.pstatic.net/sunny/?type=b150&src=https://ccimg.hellomarket.com/images/2024/item/09/18/15/2714941_4163530_1.jpg?size=s6,960,960
뱅뱅 뱅뱅 뱅뱅 남녀공용 구제 테이퍼드 스판 청바지 NQI664,http://shopping.phinf.naver.net/main_5034168/50341681426.20240917052429.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5034168/50341681426.20240917052429.jpg,1000,1000
[무배] 사방스판 하이웨스트 일자핏 청바지 : 걸에이치,http://shop1.phinf.naver.net/20210204_110/1612414509867qV8Wt_JPEG/13550352574523140_283344516.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20210204_110/1612414509867qV8Wt_JPEG/13550352574523140_283344516.jpg,1440,1440
꽃중년 청바지 스판 작업복 데님 팬츠 편한 블랙진 30,http://shopping.phinf.naver.net/main_4827689/48276893248.20240607175346.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4827689/48276893248.20240607175346.jpg,1000,1000
뱅뱅 뱅뱅칠곡 HC09 공용 쿨 레귤러청바지 밑위긴 쿨스판 청바지 허리밴딩 편한 여름청바지,http://shopping.phinf.naver.net/main_4902227/49022272364.20240709233019.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_4902227/49022272364.20240709233019.jpg,700,700
MOJI 남자 일자 와이드 청바지 허리밴딩 팬츠 진청 연청 흑청 블랙 청바지 : MOJI seoul,http://shop1.phinf.naver.net/20241011_259/17285778321840CEKM_JPEG/8153196051510947_2031436545.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20241011_259/17285778321840CEKM_JPEG/8153196051510947_2031436545.jpg,2561,2503
45번가 청바지(gs반값택포) | 한남동 | 여성의류 | 당근 중고거래,https://img.kr.gcp-karroter.net/origin/article/202409/d7a16950ef68a64ce5542343ee3df39a7ba0a7ccc3d3f58348c633cd0a343d2d_0.webp?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://img.kr.gcp-karroter.net/origin/article/202409/d7a16950ef68a64ce5542343ee3df39a7ba0a7ccc3d3f58348c633cd0a343d2d_0.webp?f=webp&q=95&s=1440x1440&t=inside,1170,540
게스 블랙장 스틸로고 청바지 남성 29 인치 | 헬로마켓 게스 블랙장 스틸로고 청바지 남성 29 인치  | 헬로마켓,https://ccimg.hellomarket.com/images/2024/item/10/24/18/4658822_5278199_1.jpg?size=s6,https://search.pstatic.net/sunny/?type=b150&src=https://ccimg.hellomarket.com/images/2024/item/10/24/18/4658822_5278199_1.jpg?size=s6,960,960
슬림일자청바지 심플 스판 데님 팬츠 379 : 리즈데님,http://shop1.phinf.naver.net/20220805_9/1659671074719tfW5o_JPEG/60806973400063492_1679500625.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20220805_9/1659671074719tfW5o_JPEG/60806973400063492_1679500625.jpg,1440,1080
