지역명,규모구분,연도,월,분양가격(제곱미터)
광주,전용면적 60제곱미터초과 85제곱미터이하,2016,1,"2,582"
광주,전용면적 85제곱미터초과 102제곱미터이하,2016,1,  
광주,전용면적 102제곱미터초과,2016,1,  
대전,모든면적,2016,1,2454
대전,전용면적 60제곱미터이하,2016,1,"2,585"
대전,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2016,1,"2,461"
대전,전용면적 102제곱미터초과,2016,1,  
울산,모든면적,2016,1,"3,046"
울산,전용면적 60제곱미터이하,2016,1,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2016,1,"3,053"
울산,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2663
울산,전용면적 102제곱미터초과,2016,1,"2,874"
세종,모든면적,2016,1,2665
세종,전용면적 60제곱미터이하,2016,1,"2,601"
세종,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2676
세종,전용면적 85제곱미터초과 102제곱미터이하,2016,1,"2,661"
세종,전용면적 102제곱미터초과,2016,1,2752
강원,모든면적,2016,1,"2,173"
강원,전용면적 60제곱미터이하,2016,1,2290
강원,전용면적 60제곱미터초과 85제곱미터이하,2016,1,"2,199"
강원,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2061
강원,전용면적 102제곱미터초과,2016,1,"2,171"
충북,모든면적,2016,1,2008
충북,전용면적 60제곱미터이하,2016,1,"1,952"
충북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2021
충북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,"2,276"
충북,전용면적 102제곱미터초과,2016,1,2261
충남,모든면적,2016,1,"2,270"
충남,전용면적 60제곱미터이하,2016,1,2481
충남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,"2,281"
충남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2541
충남,전용면적 102제곱미터초과,2016,1,"2,444"
전북,모든면적,2016,1,1980
전북,전용면적 60제곱미터이하,2016,1,"1,908"
전북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,1987
전북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,"2,377"
전북,전용면적 102제곱미터초과,2016,1,2282
전남,모든면적,2016,1,"1,909"
전남,전용면적 60제곱미터이하,2016,1,1999
전남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,"1,906"
전남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2262
전남,전용면적 102제곱미터초과,2016,1,"2,176"
경북,모든면적,2016,1,2181
경북,전용면적 60제곱미터이하,2016,1,"2,178"
경북,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2185
경북,전용면적 85제곱미터초과 102제곱미터이하,2016,1,"2,516"
경북,전용면적 102제곱미터초과,2016,1,2346
경남,모든면적,2016,1,"2,327"
경남,전용면적 60제곱미터이하,2016,1,2270
경남,전용면적 60제곱미터초과 85제곱미터이하,2016,1,"2,348"
경남,전용면적 85제곱미터초과 102제곱미터이하,2016,1,2925
경남,전용면적 102제곱미터초과,2016,1,"2,828"
제주,모든면적,2016,1,2268
제주,전용면적 60제곱미터이하,2016,1,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2016,1,2260
제주,전용면적 85제곱미터초과 102제곱미터이하,2016,1,"2,583"
제주,전용면적 102제곱미터초과,2016,1,2574
서울,모든면적,2016,2,"6,111"
서울,전용면적 60제곱미터이하,2016,2,6438
서울,전용면적 60제곱미터초과 85제곱미터이하,2016,2,"6,039"
서울,전용면적 85제곱미터초과 102제곱미터이하,2016,2,6513
서울,전용면적 102제곱미터초과,2016,2,"6,458"
인천,모든면적,2016,2,3192
인천,전용면적 60제곱미터이하,2016,2,"3,328"
인천,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3112
인천,전용면적 85제곱미터초과 102제곱미터이하,2016,2,"3,545"
인천,전용면적 102제곱미터초과,2016,2,3408
경기,모든면적,2016,2,"3,219"
경기,전용면적 60제곱미터이하,2016,2,3294
경기,전용면적 60제곱미터초과 85제곱미터이하,2016,2,"3,268"
경기,전용면적 85제곱미터초과 102제곱미터이하,2016,2,3381
경기,전용면적 102제곱미터초과,2016,2,"3,669"
부산,모든면적,2016,2,3154
부산,전용면적 60제곱미터이하,2016,2,"2,999"
부산,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3060
부산,전용면적 85제곱미터초과 102제곱미터이하,2016,2,"2,957"
부산,전용면적 102제곱미터초과,2016,2,3812
대구,모든면적,2016,2,"3,064"
대구,전용면적 60제곱미터이하,2016,2,3341
대구,전용면적 60제곱미터초과 85제곱미터이하,2016,2,"3,079"
대구,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2532
대구,전용면적 102제곱미터초과,2016,2,"2,743"
광주,모든면적,2016,2,2569
광주,전용면적 60제곱미터이하,2016,2,"2,395"
광주,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2582
광주,전용면적 85제곱미터초과 102제곱미터이하,2016,2,
광주,전용면적 102제곱미터초과,2016,2,
대전,모든면적,2016,2,"2,454"
대전,전용면적 60제곱미터이하,2016,2,2585
대전,전용면적 60제곱미터초과 85제곱미터이하,2016,2,"2,428"
대전,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2461
대전,전용면적 102제곱미터초과,2016,2,
울산,모든면적,2016,2,3046
울산,전용면적 60제곱미터이하,2016,2,"2,584"
울산,전용면적 60제곱미터초과 85제곱미터이하,2016,2,3053
울산,전용면적 85제곱미터초과 102제곱미터이하,2016,2,"2,663"
울산,전용면적 102제곱미터초과,2016,2,2874
세종,모든면적,2016,2,"2,665"
세종,전용면적 60제곱미터이하,2016,2,2601
세종,전용면적 60제곱미터초과 85제곱미터이하,2016,2,"2,676"
세종,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2661
세종,전용면적 102제곱미터초과,2016,2,"2,752"
강원,모든면적,2016,2,2173
강원,전용면적 60제곱미터이하,2016,2,"2,290"
강원,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2200
강원,전용면적 85제곱미터초과 102제곱미터이하,2016,2,
강원,전용면적 102제곱미터초과,2016,2,2350
충북,모든면적,2016,2,"2,008"
충북,전용면적 60제곱미터이하,2016,2,1952
충북,전용면적 60제곱미터초과 85제곱미터이하,2016,2,"2,021"
충북,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2276
충북,전용면적 102제곱미터초과,2016,2,"2,261"
충남,모든면적,2016,2,2272
충남,전용면적 60제곱미터이하,2016,2,"2,496"
충남,전용면적 60제곱미터초과 85제곱미터이하,2016,2,2282
충남,전용면적 85제곱미터초과 102제곱미터이하,2016,2,"2,541"
충남,전용면적 102제곱미터초과,2016,2,2444
전북,모든면적,2016,2,"1,980"
전북,전용면적 60제곱미터이하,2016,2,1908
전북,전용면적 60제곱미터초과 85제곱미터이하,2016,2,"1,987"
전북,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2377
전북,전용면적 102제곱미터초과,2016,2,"2,283"
전남,모든면적,2016,2,1923
전남,전용면적 60제곱미터이하,2016,2,"1,999"
전남,전용면적 60제곱미터초과 85제곱미터이하,2016,2,1921
전남,전용면적 85제곱미터초과 102제곱미터이하,2016,2,"2,262"
전남,전용면적 102제곱미터초과,2016,2,2176
경북,모든면적,2016,2,"2,179"
경북,전용면적 60제곱미터이하,2016,2,2172
경북,전용면적 60제곱미터초과 85제곱미터이하,2016,2,"2,191"
경북,전용면적 85제곱미터초과 102제곱미터이하,2016,2,2532
경북,전용면적 102제곱미터초과,2016,2,"2,346"
경남,모든면적,2016,2,2358
경남,전용면적 60제곱미터이하,2016,2,"2,361"
